date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2025-08-01,14,lightgbm_extended,SHORT,4202,-6.27618800106e-05,-4.71073904044e-05,0.0287958115183,0.684435982865,6.27618800106e-05,4.71073904044e-05,0.684435982865
2025-08-01,14,lightgbm_extended,FLAT,77448,-6.90799031587e-07,0,0.110177151121,0.117485280446,0,0,0
2025-08-01,14,lightgbm_extended,LONG,4749,6.226426469e-05,4.4883188693e-05,0.672141503474,0.0320067382607,6.226426469e-05,4.4883188693e-05,0.672141503474
2025-08-01,14,lightgbm_extended,LONG_MINUS_SHORT,8951,0.000125026144701,9.19905790974e-05,,,,,
2025-09-01,15,qi_direct_baseline,SHORT,11753,-2.70194951802e-05,0,0.0141240534332,0.390283331915,2.70194951802e-05,0,0.390283331915
2025-09-01,15,qi_direct_baseline,FLAT,64750,5.40750379229e-07,0,0.0846023166023,0.0796293436293,0,0,0
2025-09-01,15,qi_direct_baseline,LONG,9890,2.94813170023e-05,0,0.402022244692,0.0116279069767,2.94813170023e-05,0,0.402022244692
2025-09-01,15,qi_direct_baseline,LONG_MINUS_SHORT,21643,5.65008121824e-05,0,,,,,
2025-09-01,15,lightgbm_qi_ofi,SHORT,11762,-2.78901865871e-05,0,0.017429008672,0.407158646489,2.78901865871e-05,0,0.407158646489
2025-09-01,15,lightgbm_qi_ofi,FLAT,64088,2.60992442379e-07,0,0.0780177256273,0.076363749844,0,0,0
2025-09-01,15,lightgbm_qi_ofi,LONG,10543,3.03842906522e-05,0,0.418761263398,0.0165986910746,3.03842906522e-05,0,0.418761263398
2025-09-01,15,lightgbm_qi_ofi,LONG_MINUS_SHORT,22305,5.82744772393e-05,0,,,,,
2025-09-01,15,lightgbm_extended,SHORT,9674,-3.1710718204e-05,0,0.0194335331817,0.456067810626,3.1710718204e-05,0,0.456067810626
2025-09-01,15,lightgbm_extended,FLAT,67656,8.31492101689e-08,0,0.0777462457136,0.0783522525718,0,0,0
2025-09-01,15,lightgbm_extended,LONG,9063,3.42235054946e-05,0,0.460333222995,0.0159991172901,3.42235054946e-05,0,0.460333222995
2025-09-01,15,lightgbm_extended,LONG_MINUS_SHORT,18737,6.59342236985e-05,0,,,,,
2025-10-01,16,qi_direct_baseline,SHORT,7667,-2.1909107554e-05,0,0.00782574670666,0.338854832399,2.1909107554e-05,0,0.338854832399
2025-10-01,16,qi_direct_baseline,FLAT,74667,9.14342748701e-07,0,0.0641782849184,0.0598256257785,0,0,0
2025-10-01,16,qi_direct_baseline,LONG,4064,3.41271002713e-05,0,0.442421259843,0.0127952755906,3.41271002713e-05,0,0.442421259843
2025-10-01,16,qi_direct_baseline,LONG_MINUS_SHORT,11731,5.60362078252e-05,0,,,,,
2025-10-01,16,lightgbm_qi_ofi,SHORT,7645,-2.51137776764e-05,0,0.0158273381295,0.382995421844,2.51137776764e-05,0,0.382995421844
2025-10-01,16,lightgbm_qi_ofi,FLAT,73538,7.9368822141e-07,0,0.0575484783377,0.0557534879926,0,0,0
2025-10-01,16,lightgbm_qi_ofi,LONG,5215,3.30997552853e-05,0,0.44046021093,0.0170661553212,3.30997552853e-05,0,0.44046021093
2025-10-01,16,lightgbm_qi_ofi,LONG_MINUS_SHORT,12860,5.82135329617e-05,0,,,,,
2025-10-01,16,lightgbm_extended,SHORT,5375,-3.14055201394e-05,0,0.018976744186,0.460465116279,3.14055201394e-05,0,0.460465116279
2025-10-01,16,lightgbm_extended,FLAT,76928,5.87185286191e-07,0,0.05809328203,0.059328202995,0,0,0
2025-10-01,16,lightgbm_extended,LONG,4095,3.97119216011e-05,8.7273331417e-08,0.507692307692,0.0190476190476,3.97119216011e-05,8.7273331417e-08,0.507692307692
2025-10-01,16,lightgbm_extended,LONG_MINUS_SHORT,9470,7.11174417405e-05,8.7273331417e-08,,,,,
2025-11-01,17,qi_direct_baseline,SHORT,11964,-9.56157995319e-06,0,0.00225677031093,0.225091942494,9.56157995319e-06,0,0.225091942494
2025-11-01,17,qi_direct_baseline,FLAT,65899,3.80033226999e-07,0,0.0200003034947,0.016161095009,0,0,0
2025-11-01,17,qi_direct_baseline,LONG,8535,1.09914779019e-05,0,0.240656121851,0.00257762155829,1.09914779019e-05,0,0.240656121851
